,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Carbon County Community Transit (CCCT),"33,150","33,150","33,150","56,950","45,093","41,128","39,906","34,050","40,227","51,668","49,321","71,387","52,686","41,692","63,813",,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),"200,670","180,320","188,257","232,346","214,304","220,921","238,645","249,536","263,182","269,950","467,282","474,970","496,643","552,371","476,019","405,979","417,395","490,078"
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)","130,376","131,935","125,555","119,819","150,538","130,300","128,775","134,115","127,068","127,063","121,788",,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),"445,049","445,123","708,407","719,095","647,023","514,625","469,600","441,831","429,867","450,332","463,899","476,069","453,506","478,366","499,234","507,278","528,917","556,807"
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),"323,902","328,656","414,264","420,784","486,243","488,081","493,088","451,393","396,283","396,806","417,471","481,537","443,880","404,566","378,636","363,494","367,931","383,884"
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),"153,320","153,767","151,577","129,190","145,547","144,383","144,061","126,513","125,062","122,888","133,591","116,668","97,652","90,717","78,218","97,388","98,602","95,642"
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),"478,119","510,034","537,790","508,231","515,278","477,066","536,853","531,221","516,674","539,950","579,610","570,972","574,297","427,830","393,449","401,454","432,024","484,477"
Monroe Township,"57,742",,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),"52,739","50,621","50,677","52,275","53,036","47,141","51,058","56,400","61,273","61,988","64,080","64,650","65,120","48,300","48,500","50,774","52,155","56,598"
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),"777,466","876,954","1,012,299","1,098,093","1,043,817","1,112,798","1,226,878","1,163,666","1,109,260","1,055,205","1,103,093","1,104,873","1,103,207","995,734","869,352","953,197","948,666","950,374"
SCHUYLKILL TRANSPORTATION SYSTEM (STS),"398,145","402,545","403,486","371,415","362,117","334,985","334,676","328,572","309,593","341,414","367,217","338,848","322,507","343,328","317,248","316,374","310,433","306,146"
VCTO (Venango County Transportation Office),"150,338","151,602","166,110","162,888","164,415","167,543","163,815","157,849","172,680","163,342",,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),"199,056","198,853","197,534","204,656","183,708","192,977","187,802","192,480","192,913","191,051","190,068","194,574","201,950","200,432","193,595","198,425","207,261","207,909"
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,"143,930","140,322","192,006","177,653","167,621","167,235","173,722","172,598","142,384","177,779","194,011","197,787","194,344"
YATA (Central Pennsylvania Transportation Authority),,,,,,"1,527,127","1,536,892","1,703,834","1,766,822",,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,"85,685","376,120","414,289","424,052","424,753","348,118","328,952","398,817","399,091","395,590"
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,"1,735,687","1,756,448","1,773,598","1,801,660","1,717,610","1,751,381",,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,"3,518,561","3,344,046","3,404,745","3,425,576","3,310,427","3,362,491","3,495,749","3,497,440","3,506,333"
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,"952,705","960,736","958,170"
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,"3,818,307","3,764,524","3,796,531"
