,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Schuylkill Transportation System (STS),,,,,,,,,,,,"97,441","97,441","97,441",,,,
South Central Transit Authority (SCTA),,,,,,,,,,,,"930,887","930,887","930,887",,,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,"25,626","25,626","25,626",,,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,"207,820","207,820","207,820",,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,,"69,608","69,608",,,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,,"29,713","29,713",,,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,,"214,437","214,437",,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,,"133,568","133,568",,,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,,"53,819","53,819",,,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,,"61,852","61,852",,,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,,"189,872","189,872",,,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,,"136,606","136,606",,,,
Hazleton Public Transit (HPT),,,,,,,,,,,,,"58,043","58,043",,,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,,"65,500","65,500",,,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,,"488,571","488,571",,,,
Luzerne County Transportation Authority (LCTA),,,,,,,,,,,,,"202,500","202,500",,,,
Mercer County Regional Council of Governments (MCRCOG),,,,,,,,,,,,,"116,638","116,638",,,,
Mid County Transit Authority (TACT),,,,,,,,,,,,,"17,610","17,610",,,,
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,,,,"66,086","66,086",,,,
Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,,"296,066","296,066",,,,
Williamsport River Valley Transit (RVT),,,,,,,,,,,,,"69,764","69,764",,,,
