,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
YCTA (York County Transportation Authority*),,"$269,998","$283,498","$297,673","$312,556",,,,,,,,,,,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,,"$185,942","$195,240","$205,002","$215,252","$226,015","$237,316","$249,182","$261,641","$274,723","$288,459","$302,882","$369,155","$387,613","$406,994","$427,344","$334,834","$351,576"
BUTLER TRANSIT AUTHORITY (BTA),,"$30,646","$32,179","$33,788","$35,477","$37,251","$39,114","$41,070","$43,124","$45,280","$47,544","$49,921","$52,417","$55,038","$57,790","$60,680","$63,714","$66,900"
Carbon County Community Transit (CCCT),,"$24,070","$25,274","$26,538","$27,865","$29,258","$30,721","$32,257","$33,870","$35,564","$37,233","$38,167","$39,141","$39,888","$40,969",,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),,"$24,476","$25,699","$26,984","$16,082","$29,750","$31,238","$32,800","$34,440","$36,162","$64,591","$67,821","$71,212","$74,773","$78,512","$82,438","$64,591","$67,821"
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,"$29,895","$31,389","$32,958","$34,606","$36,336","$38,153","$40,061","$42,064","$44,167","$46,375",,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),,"$40,557","$42,585","$44,714","$46,950","$49,298","$51,763","$54,351","$57,069","$59,922","$62,918","$66,064","$69,367","$72,835","$76,477","$80,301","$84,316","$88,532"
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),,"$38,680","$40,614","$42,645","$44,777","$47,016","$49,367","$51,835","$54,427","$57,148","$60,005","$63,005","$66,155","$69,463","$72,936","$76,583","$80,412","$84,433"
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),,"$27,290","$28,654","$30,087","$31,591","$33,171","$34,830","$36,572","$38,401","$40,321","$42,337","$44,454","$46,677","$49,011","$51,462","$54,035","$56,737","$59,574"
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),,"$100,171","$105,180","$110,439","$115,961","$121,759","$127,847","$134,239","$140,951","$147,999","$155,399","$163,169","$171,327","$179,893","$188,888","$198,332","$208,249","$218,661"
BOROUGH OF MOUNT CARMEL (LATS),,"$7,855","$8,248","$8,660","$9,093","$9,548","$10,025","$10,526","$11,052","$11,605","$12,185","$12,794","$13,434","$14,106","$14,811","$15,552","$17,147","$17,147"
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),,"$135,976","$142,775","$149,914","$157,410","$165,281","$173,545","$182,222","$191,333","$200,900","$210,945","$221,492","$232,567","$244,195","$256,405","$269,225","$282,686","$296,820"
SCHUYLKILL TRANSPORTATION SYSTEM (STS),,"$39,709","$41,694","$43,779","$45,968","$48,266","$50,679","$53,213","$55,874","$58,668","$61,601","$64,681","$67,915","$71,311","$74,877","$78,621","$82,552","$86,680"
VCTO (Venango County Transportation Office),,"$17,160","$18,018","$18,919","$19,865","$20,858","$21,901","$22,996","$24,146","$25,353",,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),,"$27,188","$28,547","$29,974","$31,473","$33,047","$34,699","$36,434","$38,256","$40,169","$42,177","$44,286","$46,500","$48,825","$51,266","$53,829","$56,520","$59,346"
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,"$46,104","$48,409","$50,829","$53,370","$56,039","$58,841","$61,783","$64,872","$68,116","$71,522","$75,098","$78,853","$82,796"
YATA (Central Pennsylvania Transportation Authority),,,,,,"$328,184","$344,593","$361,822","$379,913",,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,"$32,557","$198,230","$207,466","$217,839","$228,731","$237,086","$245,908","$254,248","$282,974","$300,709"
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,"$508,765","$534,203","$560,913","$588,959","$618,407","$649,327",,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,N/A,N/A,N/A,"$903,001","$948,152","$749,902","$787,397","$826,767","$868,105"
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,"$447,514","$469,890","$493,385"
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,"$1,814,426","$1,905,148","$2,000,405"
