,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Carbon County Community Transit (CCCT),,,,,,,,,,,,"$254,446","$260,937","$265,921",,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,"$6,800,564","$7,086,229","$7,316,262",,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,"$6,430,401","$6,861,590","$7,191,498",,,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,"$2,010,651","$2,088,464","$2,150,563",,,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,"$4,375,550","$4,519,675","$4,633,773",,,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,"$1,269,254","$1,317,716","$1,356,595",,,,
Schuylkill Transportation System (STS),,,,,,,,,,,,"$1,601,861","$1,656,291","$1,696,252",,,,
South Central Transit Authority (SCTA),,,,,,,,,,,,"$15,879,481","$16,499,892","$17,004,091",,,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,"$683,404","$708,026","$727,974",,,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,"$1,479,147","$1,535,183","$1,580,575",,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,,"$3,136,851","$3,207,473",,,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,,"$320,707","$329,999",,,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,,"$7,174,393","$7,348,237",,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,,"$2,015,866","$2,075,986",,,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,,"$1,389,772","$1,444,022",,,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,,"$1,049,851","$1,093,746",,,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,,"$10,136,346","$10,463,058",,,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,,"$1,192,270","$1,249,979",,,,
Hazleton Public Transit (HPT),,,,,,,,,,,,,"$2,051,540","$2,105,354",,,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,,"$1,720,366","$1,780,628",,,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,,"$17,809,570","$18,367,995",,,,
Luzerne County Transportation Authority (LCTA),,,,,,,,,,,,,"$6,014,481","$6,182,192",,,,
Mercer County Regional Council of Governments (MCRCOG),,,,,,,,,,,,,"$817,818","$839,411",,,,
Mid County Transit Authority (TACT),,,,,,,,,,,,,"$626,841","$641,053",,,,
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,,,,"$2,988,032","$3,068,247",,,,
Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,,"$3,602,748","$3,710,672",,,,
Williamsport River Valley Transit (RVT),,,,,,,,,,,,,"$4,348,063","$4,473,411",,,,
