,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,,,"42,950","42,995","42,334","42,358",,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,"34,688","35,161","26,329","22,423",,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,"53,996","53,832","50,550","48,962",,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,"22,004","21,951","21,907","21,952",,,
Schuylkill Transportation System (STS),,,,,,,,,,,,"20,261","19,696","20,676","18,834",,,
South Central Transit Authority (SCTA),,,,,,,,,,,,"261,626","264,165","256,030","258,325",,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,"10,610","11,139","11,047","10,597",,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,"26,603","25,895","21,128","19,794",,,
Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,"53,098","53,211","49,062","42,597",,,
Williamsport River Valley Transit (RVT),,,,,,,,,,,,"57,842","58,792","54,913","54,847",,,
ALTOONA METRO TRANSIT (AMTRAN),,,,,,,,,,,,,,,,"47,507","43,212",
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (ATA),,,,,,,,,,,,,,,,"106,546","107,840",
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,,,,,,,,,,,,,,,"46,686","46,673",
BOROUGH OF MOUNT CARMEL (LATS),,,,,,,,,,,,,,,,"4,775","4,719",
BUTLER TRANSIT AUTHORITY (BTA),,,,,,,,,,,,,,,,"18,573","19,883",
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,,,,,,,,,,,,,,,"81,737","81,558",
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,,,,,,,"122,671","171,916",
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,,,,,,,,,,,,,,,"95,953","97,595",
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,,,,,,,,,,,,,,,"29,681","27,103",
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,,,,,,,"28,190","26,497",
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY ( BeST TRANSIT),,,,,,,,,,,,,,,,"22,730",,
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,,,,,,,,,,,,,,,"133,275","148,889",
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,,,,,,,,,,,,,,,"28,334","28,356",
HAZLETON PUBLIC TRANSIT (HPT),,,,,,,,,,,,,,,,"29,767","30,624",
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),,,,,,,,,,,,,,,,"26,690","25,936",
